"source_path","source_kind","source_status","source_title","local_coverage","local_runtime_result","issue"
"/account/forgot-password/","account","200","Thức Coffee - Open 24/7 - Forgot Password","missing","404","Forgot-password route not declared"
"/account/login/","account","200","Thức Coffee - Open 24/7 - Đăng Nhập","partial","login","Route exists; missing source shared components/content"
"/","home","200","Thức Coffee - Open 24/7 - Trang chủ","implemented","home",""
"/menu/banh-trung-thu-t1p1s587/","menu-category","500","","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/banh-trung-thu-t1p1s763/","menu-category","500","","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/blended-t1p1s119/","menu-category","200","Thức Coffee - Open 24/7 - BLENDED","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/cake-t1p1s136/","menu-category","200","Thức Coffee - Open 24/7 - CAKE","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/christmas-collection-t1p1s649/","menu-category","500","","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/coffee-t1p1s494/","menu-category","200","Thức Coffee - Open 24/7 - COFFEE","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/cold-brew-origins-t1p1s1408/","menu-category","200","Thức Coffee - Open 24/7 - COLD BREW ORIGINS","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/mango-breeze-t1p1s1470/","menu-category","200","Thức Coffee - Open 24/7 - MANGO BREEZE","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/milk-tea-t1p1s139/","menu-category","200","Thức Coffee - Open 24/7 - MILK TEA","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/non-coffee-t1p1s138/","menu-category","200","Thức Coffee - Open 24/7 - NON-COFFEE","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
"/menu/san-pham-moi-t5p1s549/","menu-category","200","Thức Coffee - Open 24/7 - Menu","missing","redirect-/menu","No category route; dynamic slug is treated as product and redirected"
